Epoch,Stage,Resolution,D_Loss,G_Loss,Alpha
13,Fade,32x32,-0.0012670989204011857,0.03367965237788856,0.8571428571428571
14,Fade,32x32,-0.0013139240937307477,0.025935637626796963,0.9285714285714286
15,Fade,32x32,-0.0016114398046582937,0.023051073380690068,1.0
1,Stable,32x32,-0.0013607650913111866,0.03030517807878554,1.0
2,Stable,32x32,-0.0014107834157347679,0.03157735850902274,1.0
3,Stable,32x32,-0.0014706602408736944,0.029513510369211435,1.0
4,Stable,32x32,-0.001547752195186913,0.023487905771583318,1.0
5,Stable,32x32,-0.0014365987441129983,0.024111668930985035,1.0
6,Stable,32x32,-0.0015351574633456766,0.02362661828422919,1.0
7,Stable,32x32,-0.0015082344227284193,0.0216543366583623,1.0
8,Stable,32x32,-0.0014128490103781223,0.023682143843248488,1.0
9,Stable,32x32,-0.0014854683553241193,0.02349214651476592,1.0
10,Stable,32x32,-0.001603643724657595,0.022136521747801452,1.0
11,Stable,32x32,-0.0014596473237127065,0.022814184482265264,1.0
12,Stable,32x32,-0.0015546911865659057,0.019521765985637905,1.0
13,Stable,32x32,-0.0014685750549659133,0.014205097176413982,1.0
14,Stable,32x32,-0.001500917925555259,0.02792096331693232,1.0
15,Stable,32x32,-0.0015191009938903153,0.021743249319922178,1.0
1,Fade,64x64,0.008666923721447763,0.004484813663072204,0.0
2,Fade,64x64,-0.001097219906209713,-0.0007747283011029191,0.07142857142857142
3,Fade,64x64,-0.0011156358266688922,-0.00025783524567358335,0.14285714285714285
4,Fade,64x64,-0.0011380872782456677,-0.0009316714041175078,0.21428571428571427
5,Fade,64x64,-0.001143446186089907,-0.0013867872796903778,0.2857142857142857
6,Fade,64x64,-0.0011549970842440836,-0.0014265634589928288,0.35714285714285715
7,Fade,64x64,-0.0011740158533454852,-0.0016750574251360281,0.42857142857142855
8,Fade,64x64,-0.0011630987282772553,-0.0017449108773825636,0.5
9,Fade,64x64,-0.0011865925860362928,-0.002091001427808691,0.5714285714285714
10,Fade,64x64,-0.0011923318238195165,-0.0018744995120894017,0.6428571428571429
11,Fade,64x64,-0.0011791340567062394,-0.0009873451350768559,0.7142857142857143
12,Fade,64x64,-0.0012083500608826316,-0.0019422631402806335,0.7857142857142857
13,Fade,64x64,-0.0011993709727008172,-0.0012622860888816428,0.8571428571428571
14,Fade,64x64,-0.0012134890782175586,-0.0012841788745039477,0.9285714285714286
15,Fade,64x64,-0.0012199568051247756,-0.002510722241757108,1.0
1,Stable,64x64,-0.0012066710004888636,-0.0013238145382604971,1.0
