Epoch,Stage,Resolution,D_Loss,G_Loss,Alpha
1,Fade,16x16,-226.58656693681002,967.8078958937455,0.0
2,Fade,16x16,2.872050206277594,-36.354036977597474,0.14285714285714285
3,Fade,16x16,-0.01721411967944354,11.433469140206576,0.2857142857142857
4,Fade,16x16,0.02618692697426304,7.19218985452652,0.42857142857142855
5,Fade,16x16,0.004882710913792252,2.3487152115772663,0.5714285714285714
6,Fade,16x16,-0.017626007189429364,1.2617213218966872,0.7142857142857143
7,Fade,16x16,-0.12398662630802021,3.042592121090293,0.8571428571428571
8,Fade,16x16,-0.23570558712929487,13.487392847180367,1.0
1,Stable,16x16,-0.15033235891997815,13.845993700451851,1.0
2,Stable,16x16,-0.1579802754920721,15.282130780715942,1.0
3,Stable,16x16,-0.25598187279343604,19.127454622254074,1.0
4,Stable,16x16,-0.32645219386816027,34.67357243759155,1.0
5,Stable,16x16,-0.18102441369354724,24.428707929382323,1.0
6,Stable,16x16,-0.13005595091342925,37.00460096061707,1.0
7,Stable,16x16,0.04287630043029785,33.207648257751465,1.0
8,Stable,16x16,0.08753484592676163,29.026704189453124,1.0
1,Fade,32x32,-1.4756160017633437,45.43135464652598,0.0
2,Fade,32x32,0.04600387782890349,1.668342910811156,0.1111111111111111
3,Fade,32x32,0.00695763522207737,1.829390799629651,0.2222222222222222
4,Fade,32x32,0.0033873683783411978,1.286418367255181,0.3333333333333333
5,Fade,32x32,0.0013996965637803078,1.0004153604845702,0.4444444444444444
6,Fade,32x32,0.0015900630191341043,1.0199713763650133,0.5555555555555556
7,Fade,32x32,-0.0011544482020288706,0.7890215594839305,0.6666666666666666
8,Fade,32x32,-0.0021948645800352095,0.712764011027515,0.7777777777777778
9,Fade,32x32,-0.0038245769010484217,0.6448605564104393,0.8888888888888888
10,Fade,32x32,-0.007271072043254972,0.6190896080696583,1.0
1,Stable,32x32,-0.0064961407431215045,0.6940080120245368,1.0
2,Stable,32x32,-0.006068920932635665,0.7252309967844933,1.0
3,Stable,32x32,-0.0050657355103641746,0.6596717754869909,1.0
4,Stable,32x32,-0.008963696469590068,0.6377928363738209,1.0
5,Stable,32x32,-0.006636257312595845,0.5962554458552599,1.0
6,Stable,32x32,-0.01048201662659645,0.4321205771772191,1.0
7,Stable,32x32,-0.009395812515169383,0.5884932073822617,1.0
8,Stable,32x32,-0.010935460122227668,0.7065654318781197,1.0
9,Stable,32x32,-0.013546587747335434,0.6447744370944426,1.0
10,Stable,32x32,-0.01059357173576951,0.5269999978091195,1.0
1,Fade,64x64,0.5518911258681961,0.07634976049075308,0.0
